PWEIGHT,PATTCRLM,PEFATINC,PEXMG1A,PWARRIF,
1366.3953,4000,19975,99996,0,
535.7744,30000,139600,99996,0,
2772.6537,17000,72625,1000,0,
988.4409,14500,27925,99996,0,
177.4943,40000,144025,99996,95000,
1519.4997,5000,37175,99996,0,
2997.7661,6000,108975,800,0,
2335.7543,8000,98225,750,0,
1456.0465,525,17300,99996,0,
985.5925,95000,76600,99996,0,
1290.1345,5250,70450,1200,0,
958.3045,19000,81375,875,0,
338.4543,2000,53150,475,0,
1880.2519,45000,51050,99996,0,
862.3359,19000,142150,1150,9500,
1086.7698,12500,68375,99996,125000,
312.3802,70000,125300,99996,0,
2846.0782,9500,9400,1750,0,
2336.8636,29000,66625,99996,0,
2282.4161,22000,41125,99996,92500,
440.1947,22000,89075,99996,0,
1142.3034,7750,80175,99996,0,
2074.2639,12500,28025,425,0,
428.8663,8250,43750,99996,0,
2198.5877,475,38100,99996,0,
801.8469,7750,42575,99996,0,
519.793,47000,57275,99996,0,
370.3756,21000,78725,99996,0,
598.3636,23000,96150,775,0,
1760.2132,15000,53350,99996,0,
904.2324,29000,5200,300,0,
1394.958,18000,122825,1000,0,
1628.3131,5000,58100,99996,0,
739.7335,23000,123325,550,0,
507.8524,5250,16000,99996,0,
906.5256,47500,25950,99996,0,
461.4738,36000,140050,1200,0,
1560.4957,1000,26450,99996,0,
572.5158,6750,84450,525,0,
2308.7409,999996,24675,99996,0,
811.4845,10500,80725,99996,0,
367.9022,15500,37725,99996,0,
551.5293,5000,58350,99996,9500,
826.3802,15000,42650,99996,0,
921.9311,24000,51575,99996,105000,
1855.5135,40000,178600,850,0,
981.5876,40000,78500,99996,0,
1323.92,11000,90500,99996,0,
938.3241,30000,83150,450,0,
493.2309,999996,24000,99996,0,
559.0007,1000,26950,99996,0,
616.1639,950,45325,99996,0,
1034.5228,10000,500,99996,0,
2248.8889,999996,19500,99996,0,
1556.1554,8250,38275,99996,0,
1072.7109,6750,109200,99996,2400,
1633.6578,4000,26075,99996,13000,
1745.0176,24000,29575,99996,0,
392.9642,3000,57575,99996,11000,
231.745,999996,39550,99996,0,
