PATTCRLM,PDWTYP,PEFATINC,PFSZ1824,PFSZ2544,PFSZ4564,PFSZ65UP,PPVRES,PWARRIF,PWNETWPG,
999996,2,55150,2,2,1,1,35,0,888500,
12000,3,101900,2,1,2,2,48,0,201600,
12500,3,116050,2,1,2,2,48,0,414000,
425,1,58150,2,2,2,1,46,0,268850,
15500,1,174025,1,1,1,2,35,0,1443925,
15500,1,97975,2,2,1,2,48,0,353030,
57500,1,116325,2,2,1,2,46,0,1433500,
10500,1,101250,2,1,2,2,48,0,545050,
75000,1,53050,2,2,2,1,48,11500,502175,
15000,1,54525,2,2,1,2,35,0,306050,
44000,2,67400,2,1,2,2,35,0,577750,
46000,1,59625,2,2,1,2,47,0,586050,
999996,3,12500,2,2,1,2,24,0,551,
34000,1,101150,1,2,1,2,11,0,2151000,
24000,2,85400,2,1,2,2,59,0,541000,
24000,1,700,2,2,1,2,59,0,911000,
11500,1,115300,2,2,1,2,35,0,1390075,
6000,1,26350,2,2,2,1,24,0,458900,
23000,2,30225,2,1,2,2,24,0,-8550,
9000,1,62325,1,2,1,2,46,0,202175,
19000,1,40875,2,2,1,1,12,0,387950,
9500,1,66075,2,2,1,2,35,0,1022500,
10500,1,120900,2,1,2,2,35,0,381350,
525,3,41575,1,2,1,2,24,0,-22145,
24000,1,94050,2,2,1,2,59,0,3092000,
5000,2,70025,2,1,2,2,47,0,195500,
7750,1,40325,2,2,1,2,47,0,971001,
29000,1,233400,1,1,1,2,35,0,1291500,
999996,3,24000,2,1,2,2,24,0,2600,
10500,1,79625,2,2,1,2,24,0,2791150,
13000,3,82150,2,2,1,2,24,0,950900,
2000,3,24600,2,1,2,2,47,0,1775,
47500,2,39175,2,2,1,1,35,0,1338500,
10000,1,70125,2,2,2,1,10,145000,637750,
105000,2,68000,2,2,1,2,35,0,731251,
8750,3,56500,2,1,2,2,24,0,28350,
1500,3,24600,2,2,2,1,24,0,7225,
16000,3,50200,2,2,2,1,35,0,1156000,
49000,1,145225,1,2,1,2,47,0,1655250,
16500,1,64900,2,1,1,2,35,0,1697751,
2100,2,38700,2,2,1,2,47,0,18050,
8000,1,110275,2,1,1,2,48,0,473750,
17000,1,56750,2,2,2,1,35,34000,1740500,
850,3,14000,2,1,2,2,35,0,10975,
77500,3,142600,2,2,1,2,59,0,1943250,
29000,9,404800,2,1,1,2,48,0,1130400,
50000,1,247150,2,2,1,1,24,410000,4530501,
40000,1,177775,9,9,9,9,12,0,3530001,
8500,1,41875,2,1,2,2,48,0,6950,
40000,1,147525,1,1,2,2,35,0,688900,
2000,1,161025,2,2,1,2,24,0,1443750,
2500,2,52175,2,2,1,2,24,0,221250,
41000,9,26900,2,2,1,2,24,0,1322000,
15000,3,91325,2,2,2,1,48,28000,525600,
5000,3,34325,2,2,2,1,35,0,216250,
15500,1,63225,2,1,1,1,35,0,385500,
7000,1,121175,2,1,2,2,48,0,624250,
999996,1,32600,2,2,1,2,13,0,113450,
17000,1,197850,2,2,1,2,35,0,1298500,
40000,1,65675,1,2,1,2,59,0,531250,
20000,1,34325,2,1,2,2,12,0,33200,
